date,issue_id,issue_group,issue_family,category,priority,top_title,top_url,selected,issue_hash,event_key,max_todayness,article_forms,source_version
2026.6.8,I092,AI 기반 에너지 이슈 분석·정보 검증 협력,AI 에너지 이슈,산업동향,1,,,TRUE,ai 기반 에너지 분석 정보 검증 협력,,,,
2026.6.8,I096,새만금 AI·수소도시 추진,AI 수소도시,산업동향,1,,,TRUE,새만금 ai 수소도시 추진,,,,
2026.6.9,I002,국가 AI 인프라/AIDC/GPU 정책,government_ai_core_policy,경쟁사_해외이슈,5,,,TRUE,국가 ai 인프라 aidc gpu 정책,,,,
2026.6.9,I003,global_incident:platform_regulation:naver:platform_content_moderation_obligation,comp_domestic_direct_risk,경쟁사_해외이슈,4,,,TRUE,global incident platform regulation naver platform content moderation obligation,,,,
2026.6.9,I004,global_incident:platform_regulation:platform_sector:platform_regulation,government_regulatory_enforcement,정부_국회,5,,,TRUE,global incident platform regulation platform sector platform regulation,,,,
2026.6.9,I005,"티빙·CU 개인정보 유출, 쿠팡 제재 수위 주목",개인정보 유출,정부_국회,1,,,TRUE,티빙 cu 개인정보 유출 쿠팡 제재 수위 주목,,,,
2026.6.9,I018,배민 1:1 맞춤 컨설팅 효과,플랫폼 사업자 성장 지원,경쟁사_해외이슈,3,,,TRUE,배민 1 1 맞춤 컨설팅 효과,,,,
2026.6.9,I030,"K-로봇, 피지컬 AI 시대 글로벌 격전지 부상",AI 기술,산업동향,2,,,TRUE,k 로봇 피지컬 ai 시대 글로벌 격전지 부상,,,,
2026.6.9,I036,"중국, 온라인 제품평가 규제 강화",플랫폼 규제_표시/광고,정부_국회,2,,,TRUE,중국 온라인 제품평가 규제 강화,,,,
2026.6.9,I041,스테이블코인 감독권 갈등에 막힌 '디지털 자산 기본법',디지털 자산/스테이블코인 규제,정부_국회,2,,,TRUE,스테이블코인 감독권 갈등에 막힌 디지털 자산 기본법,,,,
2026.6.9,I043,카카오 노조 임단협/파업 및 내부 갈등,노사갈등,자사_및_계열사_이슈,3,,,TRUE,카카오 노조 임단협 파업 및 내부 갈등,,,,
2026.6.9,I049,"카카오 준신위, AI 기본법 대응 워크숍 개최",AI 법제화,자사_및_계열사_이슈,2,,,TRUE,카카오 준신위 ai 기본법 대응 워크숍 개최,,,,
2026.6.9,I053,애큐온캐피탈 인수전 및 카카오뱅크 진출,인수합병,자사_및_계열사_이슈,2,,,TRUE,애큐온캐피탈 인수전 및 카카오뱅크 진출,,,,
2026.6.9,I074,오픈AI IPO 추진,오픈AI,경쟁사_해외이슈,2,,,TRUE,오픈ai ipo 추진,,,,
2026.6.9,I077,카카오 실적 대비 주가 부진,카카오톡_경영/실적,자사_및_계열사_이슈,1,,,TRUE,카카오 실적 대비 주가 부진,,,,
2026.6.10,I002,카카오 노조 임단협/파업 및 내부 갈등,노조 파업,자사_및_계열사_이슈,5,,,TRUE,카카오 노조 임단협 파업 및 내부 갈등,global_incident:labor_ir:kakao:strike_negotiation,59,direct_risk,google_rss_v26_2_generic_profile_gov_industry_pivot
2026.6.10,I003,government_ai_core_policy:과기정통부 피지컬 ai 핵심기술 국산화 위한 선도사업 본격 착수,government_ai_core_policy,정부_국회,5,,,TRUE,government ai core policy 과기정통부 피지컬 ai 핵심기술 국산화 위한 선도사업 본격 착수,event:과기정통부:ai_infrastructure_security,24,business_change,google_rss_v26_2_generic_profile_gov_industry_pivot
2026.6.10,I005,government_ai_core_policy:산림청 국민참여 정책 ai 행정혁신 성과 정부혁신평가 1위,government_ai_core_policy,정부_국회,5,,,TRUE,government ai core policy 산림청 국민참여 정책 ai 행정혁신 성과 정부혁신평가 1위,,14,business_change,google_rss_v26_2_generic_profile_gov_industry_pivot
2026.6.10,I006,global_incident:platform_regulation:coupang:platform_algorithm_ad_obligation,comp_domestic_direct_risk,경쟁사_해외이슈,4,,,TRUE,global incident platform regulation coupang platform algorithm ad obligation,global_incident:platform_regulation:coupang:platform_algorithm_ad_obligation,14,official_action,google_rss_v26_2_generic_profile_gov_industry_pivot
2026.6.10,I008,"두나무 지분구조 변화 (카카오 제외, 네이버 편입)",지분/인수,자사_및_계열사_이슈,5,,,TRUE,두나무 지분구조 변화 카카오 제외 네이버 편입,global_incident:mna_capital:kakao:dunamu_upbit_capital,24,direct_risk,google_rss_v26_2_generic_profile_gov_industry_pivot
2026.6.10,I013,쿠팡 '와우회원가' 관련 기만 광고 제재,플랫폼 규제,경쟁사_해외이슈,2,,,TRUE,쿠팡 와우회원가 기만 광고 제재,global_incident:platform_regulation:coupang:platform_algorithm_ad_obligation,14,official_action,google_rss_v26_2_generic_profile_gov_industry_pivot
2026.6.10,I020,global_incident:platform_regulation:platform_sector:platform_regulation,industry_structural_change,산업동향,3,,,TRUE,global incident platform regulation platform sector platform regulation,global_incident:platform_regulation:platform_sector:platform_regulation,24,"business_change,general",google_rss_v26_2_generic_profile_gov_industry_pivot
2026.6.10,I022,과기정통부 피지컬 AI 핵심 기술 국산화 선도사업 착수,AI,정부_국회,2,,,TRUE,과기정통부 피지컬 ai 핵심 기술 국산화 선도사업 착수,event:과기정통부:ai_infrastructure_security,14,business_change,google_rss_v26_2_generic_profile_gov_industry_pivot
2026.6.10,I035,AI 데이터 공유 및 협력,AI 정책,정부_국회,2,,,TRUE,ai 데이터 공유 및 협력,event:과기정통부+방미통위:ai_infrastructure_security+policy_legislation,24,business_change,google_rss_v26_2_generic_profile_gov_industry_pivot
2026.6.10,I050,"MS, 오픈소스 해킹 피해 및 AI 공급망 리스크",AI 보안 리스크,경쟁사_해외이슈,2,,,TRUE,ms 오픈소스 해킹 피해 및 ai 공급망 리스크,global_incident:ai_security_policy:sector:ai_security_policy,14,direct_risk,google_rss_v26_2_generic_profile_gov_industry_pivot
2026.6.10,I052,AI 기업 지분 구조 관련 법안 발의,AI 거버넌스 및 소유권,경쟁사_해외이슈,2,,,TRUE,ai 기업 지분 구조 법안 발의,global_incident:ai_security_policy:openai:anthropic_glasswing_security,14,official_action,google_rss_v26_2_generic_profile_gov_industry_pivot
2026.6.10,I055,"국내 AI 보안 스타트업 '에임인텔리전스'에 대한 LG, 현대차, 네이버의 전략적 투자",AI,경쟁사_해외이슈,2,,,TRUE,국내 ai 보안 스타트업 에임인텔리전스 에 대한 lg 현대차 네이버의 전략적 투자,global_incident:ai_security_policy:naver:ai_security_policy,24,direct_risk,google_rss_v26_2_generic_profile_gov_industry_pivot
2026.6.10,I059,거짓 광고 과징금 상향,광고 규제,정부_국회,1,,,TRUE,거짓 광고 과징금 상향,global_incident:platform_regulation:fair_trade_authority:platform_algorithm_ad_obligation,14,official_action,google_rss_v26_2_generic_profile_gov_industry_pivot
