"date","issue_id","issue_group","issue_family","category","priority","top_title","top_url","selected","issue_hash","event_key","max_todayness","article_forms","source_version","final_source"
"2026.6.8","I092","AI 기반 에너지 이슈 분석·정보 검증 협력","AI 에너지 이슈","산업동향","1","","","True","ai 기반 에너지 분석 정보 검증 협력","","","","",""
"2026.6.8","I096","새만금 AI·수소도시 추진","AI 수소도시","산업동향","1","","","True","새만금 ai 수소도시 추진","","","","",""
"2026.6.9","I002","국가 AI 인프라/AIDC/GPU 정책","government_ai_core_policy","경쟁사_해외이슈","5","","","True","국가 ai 인프라 aidc gpu 정책","","","","",""
"2026.6.9","I003","global_incident:platform_regulation:naver:platform_content_moderation_obligation","comp_domestic_direct_risk","경쟁사_해외이슈","4","","","True","global incident platform regulation naver platform content moderation obligation","","","","",""
"2026.6.9","I004","global_incident:platform_regulation:platform_sector:platform_regulation","government_regulatory_enforcement","정부_국회","5","","","True","global incident platform regulation platform sector platform regulation","","","","",""
"2026.6.9","I005","티빙·CU 개인정보 유출, 쿠팡 제재 수위 주목","개인정보 유출","정부_국회","1","","","True","티빙 cu 개인정보 유출 쿠팡 제재 수위 주목","","","","",""
"2026.6.9","I018","배민 1:1 맞춤 컨설팅 효과","플랫폼 사업자 성장 지원","경쟁사_해외이슈","3","","","True","배민 1 1 맞춤 컨설팅 효과","","","","",""
"2026.6.9","I030","K-로봇, 피지컬 AI 시대 글로벌 격전지 부상","AI 기술","산업동향","2","","","True","k 로봇 피지컬 ai 시대 글로벌 격전지 부상","","","","",""
"2026.6.9","I036","중국, 온라인 제품평가 규제 강화","플랫폼 규제_표시/광고","정부_국회","2","","","True","중국 온라인 제품평가 규제 강화","","","","",""
"2026.6.9","I041","스테이블코인 감독권 갈등에 막힌 '디지털 자산 기본법'","디지털 자산/스테이블코인 규제","정부_국회","2","","","True","스테이블코인 감독권 갈등에 막힌 디지털 자산 기본법","","","","",""
"2026.6.9","I043","카카오 노조 임단협/파업 및 내부 갈등","노사갈등","자사_및_계열사_이슈","3","","","True","카카오 노조 임단협 파업 및 내부 갈등","","","","",""
"2026.6.9","I049","카카오 준신위, AI 기본법 대응 워크숍 개최","AI 법제화","자사_및_계열사_이슈","2","","","True","카카오 준신위 ai 기본법 대응 워크숍 개최","","","","",""
"2026.6.9","I053","애큐온캐피탈 인수전 및 카카오뱅크 진출","인수합병","자사_및_계열사_이슈","2","","","True","애큐온캐피탈 인수전 및 카카오뱅크 진출","","","","",""
"2026.6.9","I074","오픈AI IPO 추진","오픈AI","경쟁사_해외이슈","2","","","True","오픈ai ipo 추진","","","","",""
"2026.6.9","I077","카카오 실적 대비 주가 부진","카카오톡_경영/실적","자사_및_계열사_이슈","1","","","True","카카오 실적 대비 주가 부진","","","","",""
"2026-06-10","I001","카카오 노조 임단협/파업 및 내부 갈등","노조_파업","자사_및_계열사_이슈","5","","","True","카카오 노조 임단협 파업 및 내부 갈등","global_incident:labor_ir:kakao:strike_negotiation","59.0","analysis_with_direct_risk,direct_risk","google_rss_v28_self_rescue_competitor_summary_scope",""
"2026-06-10","I004","government_ai_core_policy:과기정통부 ai 미래 유니콘 기업 에 리벨리온 등 15개사 선정","government_ai_core_policy","정부_국회","5","","","True","government ai core policy 과기정통부 ai 미래 유니콘 기업 에 리벨리온 등 15개사 선정","event:과기정통부:ai_infrastructure_security","24.0","business_change","google_rss_v28_self_rescue_competitor_summary_scope",""
"2026-06-10","I005","government_ai_core_policy:과기정통부 방미통위 ai ott 협력 강화 데이터 공유 나선다","government_ai_core_policy","정부_국회","5","","","True","government ai core policy 과기정통부 방미통위 ai ott 협력 강화 데이터 공유 나선다","event:과기정통부+방미통위:ai_infrastructure_security","24.0","business_change","google_rss_v28_self_rescue_competitor_summary_scope",""
"2026-06-10","I006","LG·현대차·네이버 AI 보안 스타트업 투자","AI 보안 스타트업 투자","경쟁사_해외이슈","4","","","True","lg 현대차 네이버 ai 보안 스타트업 투자","global_incident:ai_security_policy:naver:ai_security_policy","24.0","direct_risk","google_rss_v28_self_rescue_competitor_summary_scope",""
"2026-06-10","I007","government_regulatory_enforcement:금감원 사회공헌 광고 집행 현장조사 착수 우리금융 첫 타자","government_regulatory_enforcement","정부_국회","5","","","True","government regulatory enforcement 금감원 사회공헌 광고 집행 현장조사 착수 우리금융 첫 타자","event:금감원:legal_regulatory_enforcement","29.0","official_action","google_rss_v28_self_rescue_competitor_summary_scope",""
"2026-06-10","I008","global_incident:platform_regulation:fair_trade_authority:platform_algorithm_ad_obligation","government_regulatory_enforcement","정부_국회","5","","","True","global incident platform regulation fair trade authority platform algorithm ad obligation","global_incident:platform_regulation:fair_trade_authority:platform_algorithm_ad_obligation","14.0","official_action","google_rss_v28_self_rescue_competitor_summary_scope",""
"2026-06-10","I009","네이버 클립 수익화 정책 강화","숏폼 경쟁","경쟁사_해외이슈","4","","","True","네이버 클립 수익화 정책 강화","global_incident:platform_regulation:naver:platform_content_moderation_obligation","24.0","general","google_rss_v28_self_rescue_competitor_summary_scope",""
"2026-06-10","I011","대형마트 주말 의무휴업 규제 관련 발언","플랫폼 규제 및 경쟁","경쟁사_해외이슈","4","","","True","대형마트 주말 의무휴업 규제 발언","global_incident:platform_regulation:coupang:platform_operator_obligation","24.0","general","google_rss_v28_self_rescue_competitor_summary_scope",""
"2026-06-10","I012","국가 AI 인프라/AIDC/GPU 정책","AI 데이터센터 구축","산업동향","4","","","True","국가 ai 인프라 aidc gpu 정책","global_incident:platform_regulation:kt:platform_data_protection_obligation","24.0","business_change","google_rss_v28_self_rescue_competitor_summary_scope",""
"2026-06-10","I016","금융감독원, 토스 중복출금 오류 재발 방지책 제출 요구","토스 오류","정부_국회","2","","","True","금융감독원 토스 중복출금 오류 재발 방지책 제출 요구","event:금감원+토스:legal_regulatory_enforcement+privacy_security_reliability","24.0","official_action","google_rss_v28_self_rescue_competitor_summary_scope",""
"2026-06-10","I017","쿠팡 개인정보 유출 관련 개인정보보호위원회 제재","개인정보 유출 및 제재","경쟁사_해외이슈","1","","","True","쿠팡 개인정보 유출 개인정보보호위원회 제재","v27:platform_enforcement:coupang:privacy_data_violation","42.0","official_action","google_rss_v28_self_rescue_competitor_summary_scope",""
"2026-06-10","I022","피지컬 AI 핵심 기술 국산화 선도사업","AI 핵심 기술 국산화","정부_국회","2","","","True","피지컬 ai 핵심 기술 국산화 선도사업","event:과기정통부:ai_infrastructure_security","24.0","business_change","google_rss_v28_self_rescue_competitor_summary_scope",""
"2026-06-10","I033","앤트로픽, 오픈AI 대비 매출·수익성 우위","AI 기업 경쟁 및 투자","경쟁사_해외이슈","2","","","True","앤트로픽 오픈ai 대비 매출 수익성 우위","global_incident:ai_security_policy:openai:anthropic_glasswing_security","24.0","analysis_with_direct_risk","google_rss_v28_self_rescue_competitor_summary_scope",""
"2026-06-10","I037","쿠팡 기만 광고 제재","플랫폼 규제","정부_국회","1","","","True","쿠팡 기만 광고 제재","v27:platform_enforcement:coupang:deceptive_membership_price_ad","24.0","official_action","google_rss_v28_self_rescue_competitor_summary_scope",""
"2026-06-12","I001","국가 AI 인프라/AIDC/GPU 정책","경쟁사 AI 전략","경쟁사_해외이슈","5","","","True","국가 ai 인프라 aidc gpu 정책","event:KT:ai_infrastructure_security+policy_legislation","24.0","analysis_feature,business_change,direct_risk,general","google_rss_v36_locked_categories_protected_candidates",""
"2026-06-12","I004","네이버클라우드 국방 AI 전략","국내 기업 AI 전략 및 적용","경쟁사_해외이슈","3","","","True","네이버클라우드 국방 ai 전략","event:네이버:ai_infrastructure_security+policy_legislation","14.0","business_change","google_rss_v36_locked_categories_protected_candidates",""
"2026-06-12","I031","오픈AI 챗GPT 요금 인하 검토 및 AI 경쟁 심화","AI 시장 경쟁","경쟁사_해외이슈","3","","","True","오픈ai 챗gpt 요금 인하 검토 및 ai 경쟁 심화","global_incident:ai_security_policy:openai:openai_security_access","24.0","business_change","google_rss_v36_locked_categories_protected_candidates",""
"2026-06-12","I054","카카오게임즈 최대주주 변경 및 공동대표 체제","계열사_경영_투자","자사_및_계열사_이슈","2","","","True","카카오게임즈 최대주주 변경 및 공동대표 체제","global_incident:leadership_service:kakao:service_reform_backlash","24.0","direct_risk","google_rss_v36_locked_categories_protected_candidates",""
"2026-06-12","I065","카카오페이 개인정보위 과징금 행정소송 1심 패소","self_legal_regulatory","정부_국회","1","","","True","카카오페이 개인정보위 과징금 행정소송 1심 패소","v27:platform_enforcement:kakao:privacy_data_violation","19.0","direct_risk,official_action","google_rss_v36_locked_categories_protected_candidates",""
"2026-06-12","I081","과기정통부 AI·6G 보안 국제표준 개발 착수","AI 보안 표준","정부_국회","1","","","True","과기정통부 ai 6g 보안 국제표준 개발 착수","event:과기정통부:ai_infrastructure_security+phishing_security","24.0","direct_risk","google_rss_v36_locked_categories_protected_candidates",""
"2026-06-12","I085","디지털자산기본법 하반기 논의 재개","디지털자산 정책","정부_국회","1","","","True","디지털자산기본법 하반기 논의 재개","global_incident:digital_asset_policy:digital_asset_sector:digital_asset_policy","14.0","general","google_rss_v36_locked_categories_protected_candidates",""
"2026-06-13","I001","국가 AI 인프라/AIDC/GPU 정책","국내 AI 경쟁","경쟁사_해외이슈","4","","","True","국가 ai 인프라 aidc gpu 정책","event:LGU+:ai_infrastructure_security+aidc_datacenter","14.0","analysis_feature,business_change,direct_risk,general,market_commentary","google_rss_v38_1_issue_integrity_best_article_guard",""
"2026-06-13","I003","네이버 인텔 CPU 동맹","네이버","경쟁사_해외이슈","3","","","True","네이버 인텔 cpu 동맹","","24.0","general","google_rss_v38_1_issue_integrity_best_article_guard",""
"2026-06-13","I017","global_incident:platform_regulation:kakao:platform_regulation","self_privacy_security","자사_및_계열사_이슈","5","","","True","global incident platform regulation kakao platform regulation","privacy_security:tving:data_leak","24.0","direct_risk,general","google_rss_v38_1_issue_integrity_best_article_guard",""
"2026-06-13","I024","카카오 노조 임단협/파업 및 내부 갈등","self_labor","자사_및_계열사_이슈","5","","","True","카카오 노조 임단협 파업 및 내부 갈등","global_incident:labor_ir:kakao:strike_negotiation","19.0","direct_risk,official_action","google_rss_v38_1_issue_integrity_best_article_guard",""
"2026-06-13","I030","해외 AI 빅테크 IPO 및 시장 평가","오픈AI","경쟁사_해외이슈","3","","","True","해외 ai 빅테크 ipo 및 시장 평가","global_incident:ai_security_policy:openai:openai_security_access","24.0","business_change,direct_risk","google_rss_v38_1_issue_integrity_best_article_guard",""
"2026-06-13","I033","아마존 위성 통신 분야 투자 (애플 연관)","아마존","경쟁사_해외이슈","3","","","True","아마존 위성 통신 분야 투자 애플 연관","global_incident:mna_capital:apple:mna_capital","24.0","direct_risk","google_rss_v38_1_issue_integrity_best_article_guard",""
"2026-06-13","I053","government_ai_core_policy:조선시대 문헌부터 사투리까지 ai 성능 평가도 k 스타일 로 바뀐다 과기정통부 nia 연내 한국형 ai 독자","government_ai_core_policy","정부_국회","5","","","True","government ai core policy 조선시대 문헌부터 사투리까지 ai 성능 평가도 k 스타일 로 바뀐다 과기정통부 nia 연내 한국형 ai 독자","event:과기정통부:ai_infrastructure_security","14.0","business_change","google_rss_v38_1_issue_integrity_best_article_guard",""
"2026-06-14","I009","쿠팡 개인정보 유출 과징금","플랫폼 규제","경쟁사_해외이슈","1","","","True","쿠팡 개인정보 유출 과징금","v27:platform_enforcement:coupang:privacy_data_violation","24.0","official_action","google_rss_v38_1_issue_integrity_best_article_guard",""
"2026-06-14","I039","앤트로픽 AI 모델 외국인 접근 차단","AI 규제","경쟁사_해외이슈","1","","","True","앤트로픽 ai 모델 외국인 접근 차단","global_incident:platform_regulation:toss:platform_operator_obligation","24.0","business_change,direct_risk","google_rss_v38_1_issue_integrity_best_article_guard",""
"2026-06-14","I057","중국 AI 스타트업 생태계 성장","중국 AI 시장 동향","경쟁사_해외이슈","4","","","True","중국 ai 스타트업 생태계 성장","","24.0","business_change","google_rss_v38_1_issue_integrity_best_article_guard",""
"2026-06-14","I065","오픈AI IPO 전망 및 美 주검찰 조사","AI 기업/규제","경쟁사_해외이슈","1","","","True","오픈ai ipo 전망 및 주검찰 조사","global_incident:ai_security_policy:openai:openai_security_access","24.0","business_change,direct_risk,official_action","google_rss_v38_1_issue_integrity_best_article_guard",""
"2026-06-14","I080","애플 AI 전략 및 개인정보 보호 강조","AI/개인정보","경쟁사_해외이슈","1","","","True","애플 ai 전략 및 개인정보 보호 강조","privacy_security:apple:data_leak","14.0","business_change,direct_risk","google_rss_v38_1_issue_integrity_best_article_guard",""
"2026-06-14","I113","카카오 노조 임단협/파업 및 내부 갈등","노사 관계","경쟁사_해외이슈","1","","","True","카카오 노조 임단협 파업 및 내부 갈등","global_incident:labor_ir:kakao:strike_negotiation","24.0","direct_risk","google_rss_v38_1_issue_integrity_best_article_guard",""
"2026-06-14","I120","카카오페이 알리페이 개인정보 제공 관련 과징금 소송 패소","개인정보 제재","자사_및_계열사_이슈","1","","","True","카카오페이 알리페이 개인정보 제공 과징금 소송 패소","v27:platform_enforcement:kakao:privacy_data_violation","24.0","direct_risk,official_action","google_rss_v38_1_issue_integrity_best_article_guard",""
"2026-06-14","I133","카카오게임즈 최대주주 변경 및 공동대표 체제","카카오게임즈 경영","자사_및_계열사_이슈","1","","","True","카카오게임즈 최대주주 변경 및 공동대표 체제","global_incident:labor_ir:kakao:labor_ir","14.0","direct_risk,general","google_rss_v38_1_issue_integrity_best_article_guard",""
"2026-06-14","I192","미중 기술 패권 갈등 심화 (AI 기업 블랙리스트)","미중 기술 패권","정부_국회","1","","","True","미중 기술 패권 갈등 심화 ai 기업 블랙리스트","","24.0","business_change","google_rss_v38_1_issue_integrity_best_article_guard",""
"2026-06-15","I003","국가 AI 인프라/AIDC/GPU 정책","국내 통신사 AI 서비스","경쟁사_해외이슈","3","","","True","국가 ai 인프라 aidc gpu 정책","global_incident:platform_regulation:platform_sector:platform_regulation","24.0","business_change,general,market_commentary","google_rss_v40_enforcement_dedupe_self_soft_fallback",""
"2026-06-15","I004","네이버클라우드 국방 AX 전략 및 경량 AI 모델 공개","네이버 AI 전략","경쟁사_해외이슈","3","","","True","네이버클라우드 국방 ax 전략 및 경량 ai 모델 공개","event:네이버:ai_infrastructure_security+policy_legislation","24.0","analysis_feature,business_change,general","google_rss_v40_enforcement_dedupe_self_soft_fallback",""
"2026-06-15","I015","SKT, 앤트로픽 추가 투자","SKT AI 전략","경쟁사_해외이슈","1","","","True","skt 앤트로픽 추가 투자","global_incident:ai_security_policy:skt:anthropic_glasswing_security","24.0","general","google_rss_v40_enforcement_dedupe_self_soft_fallback",""
"2026-06-15","I018","global_incident:ai_security_policy:openai:anthropic_glasswing_security","comp_overseas_platform_ai","경쟁사_해외이슈","4","","","True","global incident ai security policy openai anthropic glasswing security","global_incident:ai_security_policy:openai:anthropic_glasswing_security","19.0","business_change","google_rss_v40_enforcement_dedupe_self_soft_fallback",""
"2026-06-15","I032","방미통위, 구글·애플 인앱결제 제재 공식화","앱 마켓 규제","경쟁사_해외이슈","1","","","True","방미통위 구글 애플 인앱결제 제재 공식화","v27:platform_enforcement:google:app_market_payment_fee","24.0","official_action","google_rss_v40_enforcement_dedupe_self_soft_fallback",""
"2026-06-15","I033","쿠팡 공정위 과징금 부과 (자사우대/기만광고) AND 쿠팡 납치광고 방미통위 심의 착수","플랫폼 시장 규율","경쟁사_해외이슈","1","","","True","쿠팡 공정위 과징금 부과 자사우대 기만광고 and 쿠팡 납치광고 방미통위 심의 착수","v27:platform_enforcement:coupang:deceptive_membership_price_ad","24.0","official_action","google_rss_v40_enforcement_dedupe_self_soft_fallback",""
"2026-06-15","I084","카카오벤처스 LP 소통 플랫폼 출시","self_strategic_reference","자사_및_계열사_이슈","3","","","True","카카오벤처스 lp 소통 플랫폼 출시","global_incident:platform_regulation:kakao:platform_regulation","24.0","general","google_rss_v40_enforcement_dedupe_self_soft_fallback",""
"2026-06-15","I104","중기부 AI 창업 지원 정책","AI 정책","정부_국회","2","","","True","중기부 ai 창업 지원 정책","global_incident:platform_regulation:platform_sector:platform_regulation","24.0","business_change","google_rss_v40_enforcement_dedupe_self_soft_fallback",""
"2026-06-15","I109","AI 관련 금융권 망분리 규제 동향","금융_AI_규제","정부_국회","3","","","True","ai 금융권 망분리 규제 동향","global_incident:ai_security_policy:toss:anthropic_glasswing_security","24.0","business_change","google_rss_v40_enforcement_dedupe_self_soft_fallback",""
"2026-06-15","I132","공정위 광고 규제 강화","광고 규제","정부_국회","1","","","True","공정위 광고 규제 강화","global_incident:platform_regulation:fair_trade_authority:platform_algorithm_ad_obligation","24.0","official_action","google_rss_v40_enforcement_dedupe_self_soft_fallback",""
"2026-06-16","I002","쿠팡 공정위 과징금","플랫폼 규제","정부_국회","5","","","True","쿠팡 공정위 과징금","global_incident:platform_regulation:coupang:platform_operator_obligation","24.0","official_action","google_rss_v43_quality_gated_minima_anti_overdelete",""
"2026-06-16","I007","global_incident:privacy_security:naver:naver","comp_domestic_direct_risk","경쟁사_해외이슈","4","","","True","global incident privacy security naver naver","privacy_security:naver:data_leak","24.0","direct_risk","google_rss_v43_quality_gated_minima_anti_overdelete",""
"2026-06-16","I025","네이버클라우드 국방 특화 AI 공개","네이버 AI 기술","경쟁사_해외이슈","2","","","True","네이버클라우드 국방 특화 ai 공개","event:네이버:ai_infrastructure_security","24.0","business_change","google_rss_v43_quality_gated_minima_anti_overdelete",""
"2026-06-16","I087","AI 정책 컨트롤타워 인선/공백","국가_AI_전략","정부_국회","3","","","True","ai 정책 컨트롤타워 인선 공백","","24.0","business_change","google_rss_v43_quality_gated_minima_anti_overdelete",""
"2026-06-16","I120","카카오 노조 임단협/파업 및 내부 갈등","카카오 조직개편/노조","자사_및_계열사_이슈","1","","","True","카카오 노조 임단협 파업 및 내부 갈등","global_incident:labor_ir:kakao:strike_negotiation","24.0","direct_risk","google_rss_v43_quality_gated_minima_anti_overdelete",""
"2026-06-16","I121","금융위 신용정보법 개정 (AI·금융 규제 완화)","금융 AI 규제 완화","정부_국회","1","","","True","금융위 신용정보법 개정 ai 금융 규제 완화","event:금융위:ai_infrastructure_security+policy_legislation","24.0","business_change","google_rss_v43_quality_gated_minima_anti_overdelete",""
"2026-06-16","I140","금융위 법인 디지털자산 시장 참여 추진","디지털자산 정책","정부_국회","1","","","True","금융위 법인 디지털자산 시장 참여 추진","global_incident:digital_asset_policy:financial_authority:digital_asset_policy","24.0","general","google_rss_v43_quality_gated_minima_anti_overdelete",""
"2026-06-17","I002","global_incident:platform_regulation:coupang:platform_operator_obligation","comp_domestic_strategy","정부_국회","5","","","True","global incident platform regulation coupang platform operator obligation","global_incident:platform_regulation:coupang:platform_operator_obligation","14.0","general,official_action","google_rss_v44_final_artifact_sync_only","CEO_Morning_Briefing"
"2026-06-17","I003","네이버클라우드 국방 특화 AI 모델 출시","네이버 AI","경쟁사_해외이슈","2","","","True","네이버클라우드 국방 특화 ai 모델 출시","event:네이버:ai_infrastructure_security","24.0","market_commentary","google_rss_v44_final_artifact_sync_only","CEO_Morning_Briefing"
"2026-06-17","I004","네이버 광고 전문가 인증제 도입","네이버 광고","경쟁사_해외이슈","2","","","True","네이버 광고 전문가 인증제 도입","global_incident:platform_regulation:naver:platform_algorithm_ad_obligation","24.0","business_change,general","google_rss_v44_final_artifact_sync_only","CEO_Morning_Briefing"
"2026-06-17","I009","LGU+ 이용자 보호 등급 및 과징금 감경","국내 통신사 규제/이용자 보호","경쟁사_해외이슈","2","","","True","lgu 이용자 보호 등급 및 과징금 감경","global_incident:platform_regulation:lguplus:platform_regulation","14.0","official_action","google_rss_v44_final_artifact_sync_only","CEO_Morning_Briefing"
"2026-06-17","I012","쿠팡_공정위_과징금_제재","경쟁사_규제_제재","정부_국회","2","","","True","쿠팡 공정위 과징금 제재","global_incident:platform_regulation:coupang:platform_operator_obligation","14.0","official_action","google_rss_v44_final_artifact_sync_only","CEO_Morning_Briefing"
"2026-06-17","I019","네이버 AI 검색 전략 및 시장 분석","AI 검색","경쟁사_해외이슈","2","","","True","네이버 ai 검색 전략 및 시장 분석","event:네이버:ai_infrastructure_security+policy_legislation","14.0","business_change","google_rss_v44_final_artifact_sync_only","CEO_Morning_Briefing"
"2026-06-17","I024","네이버 중소기업 개인정보 컨설팅 지원","네이버 상생협력","경쟁사_해외이슈","1","","","True","네이버 중소기업 개인정보 컨설팅 지원","privacy_security:naver:data_leak","24.0","direct_risk","google_rss_v44_final_artifact_sync_only","CEO_Morning_Briefing"
"2026-06-17","I030","카카오톡 내 ChatGPT 연동","self_strategic_reference","자사_및_계열사_이슈","4","","","True","카카오톡 내 chatgpt 연동","event:오픈AI+카카오:ai_infrastructure_security","14.0","business_change,general","google_rss_v44_final_artifact_sync_only","CEO_Morning_Briefing"
"2026-06-17","I039","카카오뱅크 판교 조직/거점 일원화","self_strategic_reference","자사_및_계열사_이슈","5","","","True","카카오뱅크 판교 조직 거점 일원화","global_incident:leadership_service:kakao:leadership_service","14.0","direct_risk","google_rss_v44_final_artifact_sync_only","CEO_Morning_Briefing"
"2026-06-17","I040","과기정통부-오픈AI AI 안전 협력 강화","정부 AI 안전 협력","정부_국회","1","","","True","과기정통부 오픈ai ai 안전 협력 강화","global_incident:ai_security_policy:openai:openai_security_access","24.0","business_change","google_rss_v44_final_artifact_sync_only","CEO_Morning_Briefing"
"2026-06-17","I067","정부-오픈AI AI 안전 협력 강화 및 평가기준 마련","AI 안전 정책 및 거버넌스","정부_국회","1","","","True","정부 오픈ai ai 안전 협력 강화 및 평가기준 마련","global_incident:ai_security_policy:openai:openai_security_access","24.0","business_change","google_rss_v44_final_artifact_sync_only","CEO_Morning_Briefing"
"2026-06-17","I068","self_strategic_reference:카카오모빌리티 보령머드축제 셔틀 서비스 운영","self_strategic_reference","자사_및_계열사_이슈","4","","","True","self strategic reference 카카오모빌리티 보령머드축제 셔틀 서비스 운영","","24.0","general","google_rss_v44_final_artifact_sync_only","CEO_Morning_Briefing"
"2026-06-17","I121","과기정통부_KT그룹_K-AI_콘텐츠_공모전_연계","AI_인재_양성","정부_국회","3","","","True","과기정통부 kt그룹 k ai 콘텐츠 공모전 연계","event:과기정통부:ai_infrastructure_security","24.0","business_change","google_rss_v44_final_artifact_sync_only","CEO_Morning_Briefing"
"2026-06-17","I149","IMF 나이지리아 스테이블코인 규제 보완 요청","디지털 금융 정책","산업동향","4","","","True","imf 나이지리아 스테이블코인 규제 보완 요청","global_incident:digital_asset_policy:digital_asset_sector:stablecoin_policy","14.0","general","google_rss_v44_final_artifact_sync_only","CEO_Morning_Briefing"
