issue_id,issue_group,issue_family,internal_category,primary_category,self_tier,gov_tier,competitor_tier,competitor_scope,issue_score,max_ceo_priority,max_pa_priority,max_relevance,article_count,top_article_id,candidate_article_ids,titles,sources,company_impact,label_reasons,is_pr,exclude
I012,카카오 주가 회복에도 AI 투자에 대한 회의적인 시각,카카오 주가 및 AI 전략,SELF_AFFILIATE_BUSINESS,자사_및_계열사_이슈,STRATEGIC_REFERENCE,,,other,253.5,4,3,4,1,121,121,"Kakao recovers after hitting one-year low, but investors remain skeptical of AI push",네이트,"카카오 주가가 1년 최저치에서 회복했지만, AI 투자에 대한 투자자들의 회의적인 시각이 여전하다는 내용.","카카오의 AI 전략에 대한 시장의 평가를 보여주지만, 직접적인 리스크나 규제 이슈와는 거리가 있어 STRATEGIC_REFERENCE로 분류.",False,False
I013,comp_overseas_regulation_data:구글 데이터센터 건설 전략 ai 시대 승부수 글로벌,comp_overseas_regulation_data,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,,,COMP_OVERSEAS_REGULATION_DATA,overseas,251.25,4,3,4,1,2289,2289,"구글, 데이터센터 건설 전략…AI 시대 승부수 : 글로벌",재경일보,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,로컬 보조 라벨,False,False
I014,CU편의점·티빙 등 해킹,개인정보보호,SELF_DIRECT_RISK,경쟁사_해외이슈,DIRECT_RISK,GOV_REGULATORY_ENFORCEMENT,COMP_DOMESTIC_DIRECT_RISK,domestic,251.0,2,2,2,2,316,"316,311",CU편의점·티빙 등 대형서비스 3곳 해킹… 개인정보 줄줄 새 | CU편의점·티빙 등 대형서비스 3곳 해킹… 개인정보 줄줄 새,v.daum.net | 기호일보,"CU편의점, 티빙 등 대형 서비스의 해킹 및 개인정보 유출 사고는 카카오의 개인정보보호 및 보안 시스템 강화 필요성을 시사하며, 향후 관련 규제 강화 가능성을 보여줌.","대형 서비스의 개인정보 유출 사고는 카카오의 개인정보보호 및 보안 관리 강화 필요성을 시사하며, 관련 규제 강화 가능성을 보여줌. self_tier를 DIRECT_RISK로 부여하여 카카오의 직접적인 리스크 요인임을 명시. / v23_category_reassign:government_without_policy_basis / 대형 서비스의 개인정보 유출 사고는 카카오의 개인정보보호 및 보안 관리 강화 필요성을 시사하며, 관련 규제 강화 가능성을 보여줌. / v23_category_reassign:government_without_policy_basis",False,False
I015,global_incident:ai_security_policy:openai:openai_security_access,comp_overseas_platform_ai,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,,COMP_OVERSEAS_PLATFORM_AI,overseas,246.75,4,3,4,2,2343,"2343,2322","오픈AI, IPO 앞두고 챗GPT 대개편...'슈퍼앱' 변신 승부수 | ""누가 먼저 상장할까""···오픈AI vs 앤드로픽, 예측 시장의 선택은?",biz.sbs.co.kr. | Benzinga,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,로컬 보조 라벨,False,False
I016,self_strategic_reference:카카오페이 청년 포용금융 리더 100명 키운다,self_strategic_reference,SELF_AFFILIATE_BUSINESS,자사_및_계열사_이슈,STRATEGIC_REFERENCE,,,other,246.0,4,3,4,1,69,69,"카카오페이, 청년 포용금융 리더 100명 키운다",전자신문,카카오 현직자가 사업 방향과 외부 질의 가능성을 참고할 실질 변화,로컬 보조 라벨,False,False
I017,comp_overseas_platform_ai:챗gpt 수퍼앱으로 탈바꿈 코딩 ai에이전트 결합,comp_overseas_platform_ai,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,,COMP_OVERSEAS_PLATFORM_AI,overseas,244.75,4,3,4,1,2318,2318,챗GPT ‘수퍼앱’으로 탈바꿈...코딩·AI에이전트 결합,조선일보,카카오가 경쟁사 전략·리스크·AI/플랫폼 대응을 비교 참고할 이슈,로컬 보조 라벨,False,False
I018,"온체인 선물거래소 HYPE, 가상자산 약세장 돌파",가상자산 시장 동향,GOV_FINANCIAL_DIGITAL_POLICY,경쟁사_해외이슈,,GOV_DIGITAL_FINANCE_POLICY,,other,239.0,3,4,3,2,2727,"2727,2725",가상자산 약세장 뚫은 HYPE…온체인 선물거래소가 뭐길래 | 가상자산 약세장 뚫은 HYPE…온체인 선물거래소가 뭐길래,네이트 | 이투데이,가상자산 약세장 속에서 온체인 선물거래소 HYPE가 주목받고 있음.,"카카오의 핵심 사업과 직접적인 연관성이 낮은 가상자산 거래소 시장 동향 관련 이슈로, GOV_DIGITAL_FINANCE_POLICY에 해당하지만 우선순위 낮음. / v23_category_reassign:government_without_policy_basis",False,False
I019,교육조건부 기소유예 교육,딥페이크,GOV_PLATFORM_REGULATION,경쟁사_해외이슈,,GOV_REGULATORY_ENFORCEMENT,,other,229.5,4,5,4,1,1538,1538,"법무부 의정부청소년꿈키움센터, 검찰의뢰 교육조건부 기소유예 교육",로이슈,"법무부 의정부청소년꿈키움센터의 검찰의뢰 교육조건부 기소유예 교육은 형사 사법 절차 관련 내용으로, 카카오의 직접적인 사업과는 무관함.","카카오와의 직접적인 연관성이 낮고, 일반적인 법률 집행 사례로 판단됨. / v23_category_reassign:government_without_policy_basis",False,True
I020,챗GPT의 슈퍼앱 전략 및 오픈AI 한국 전략,AI 슈퍼앱,SELF_AFFILIATE_BUSINESS,자사_및_계열사_이슈,STRATEGIC_REFERENCE,GOV_AI_CORE_POLICY,COMP_OVERSEAS_PLATFORM_AI,mixed,227.5,2,2,2,1,117,117,챗GPT의 다음 목표는 ‘슈퍼앱’…카카오·삼성·SK와 맞물린 오픈AI 한국 전략,테크42,"챗GPT가 슈퍼앱을 목표로 하고 있으며, 오픈AI의 한국 전략이 카카오, 삼성, SK 등과 맞물리고 있다는 점은 카카오의 AI 서비스 전략에 큰 영향을 미칠 수 있음.",챗GPT의 슈퍼앱 전략과 오픈AI의 한국 시장 접근 방식은 카카오의 AI 서비스 전략에 직접적인 영향을 미치는 핵심 이슈임.,False,False
I021,"배달의민족, AI 활용 외식업주 교육",AI_활용_외식업,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,,COMP_DOMESTIC_AI_PLATFORM,domestic,215.5,2,3,2,1,2229,2229,“AI가 매출도 바꿨다” 외식업주 위한 실전 교육 나선 배민·서초구,thefairnews.co.kr,"배달의민족이 AI를 활용하여 외식업주 교육을 진행하는 것은 플랫폼 기업의 AI 기술 활용 범위를 넓히는 사례이며, 카카오 역시 플랫폼 내 AI 기술 적용 및 사업 확장을 고려할 때 참고할 만함.","국내 플랫폼 기업인 배달의민족이 AI를 외식업주 교육에 활용하는 사례로, 카카오의 AI 기술 접목 및 사업 확장 전략 수립에 참고할 만함.",False,False
I022,티빙 개인정보 유출 사고,개인정보보호,GOV_PLATFORM_REGULATION,경쟁사_해외이슈,,GOV_REGULATORY_ENFORCEMENT,COMP_DOMESTIC_DIRECT_RISK,domestic,215.0,2,2,2,2,322,"322,309","티빙 개인정보 유출 사건, 교훈은? | 티빙 개인정보 유출 사건, 교훈은?",뉴스N연합 | 유스연합,"티빙 개인정보 유출 사건의 교훈은 카카오의 개인정보보호 및 보안 체계 강화 필요성을 시사하며, 향후 관련 규제 변화에 대한 대비가 필요함을 보여줌.","대형 서비스의 개인정보 유출 사고는 카카오의 개인정보보호 및 보안 관리 강화 필요성을 시사하며, 관련 규제 강화 가능성을 보여줌. / v23_category_reassign:government_without_policy_basis",False,False
I023,"오픈AI, '챗GPT' 슈퍼앱 전환 선언",오픈AI 전략,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,,COMP_OVERSEAS_PLATFORM_AI,overseas,214.5,4,3,1,1,2367,2367,"오픈AI ""챗GPT"" 슈퍼앱 전환 선언, IPO 앞두고 기업 매출 50% 목표 잡은 배경",디지털포커스,"오픈AI가 챗GPT를 슈퍼앱으로 전환하겠다고 선언하며, IPO를 앞두고 기업 매출 50% 목표를 설정함.",AI 분야 글로벌 선도 기업인 오픈AI의 서비스 전략 변화는 카카오의 AI 서비스 전략에 중요한 시사점을 제공하여 분류.,False,False
I024,"배민 B마트, 농축산물 매출 증가",커머스_성장_전략,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,,,COMP_DOMESTIC_FINANCE_COMMERCE,domestic,214.5,2,3,2,1,2218,2218,"배민 ""B마트가 직매입한 지역 농축산물 매출 대폭 증가""",연합뉴스,"배달의민족 B마트의 농축산물 매출 증가는 이커머스 플랫폼의 신선식품 공급망 강화 및 소비자 수요 변화에 대한 인사이트를 제공하며, 카카오의 커머스 사업 전략 수립 시 참고할 만함.","국내 플랫폼 기업인 배달의민족의 커머스 사업 확장 사례로, 카카오의 커머스 사업 전략 수립 및 경쟁 우위 확보 방안 모색에 참고할 수 있음.",False,False
I025,"AI 기업 IPO, 비트코인 자금 이탈 초래",AI_기업_IPO_영향,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,,COMP_OVERSEAS_PLATFORM_AI,overseas,214.25,3,3,3,1,2368,2368,"스페이스X부터 오픈AI까지...인공지능 기업 IPO, 비트코인(BTC) 자금 이탈 초래",코인리더스,"AI 기업들의 IPO 움직임이 비트코인 등 가상자산 시장에 영향을 미치는 것은 신기술 투자와 금융 시장 간의 연관성을 보여주며, 카카오의 가상자산 및 투자 전략에 간접적 시사점을 제공함.",AI 기업 IPO가 가상자산 시장에 미치는 영향은 카카오의 가상자산 관련 사업 전략 수립 시 고려해야 할 잠재적 외부 요인임.,False,False
I026,ISMS/ISMS-P 인증제도 변경,개인정보보호,GOV_PLATFORM_REGULATION,정부_국회,,GOV_REGULATORY_ENFORCEMENT,COMP_DOMESTIC_DIRECT_RISK,domestic,213.5,2,2,2,1,320,320,"티빙 개인정보 유출 사고가 던진 경고...ISMS·ISMS-P 인증제도, 2027년부터 어떻게 달라지나",테크데일리,티빙 개인정보 유출 사고를 계기로 ISMS·ISMS-P 인증제도가 2027년부터 변경된다는 점은 카카오의 개인정보보호 및 보안 체계 점검에 중요한 시사점을 줌.,타사 개인정보 유출 사건으로 인한 인증 제도 변경은 카카오의 개인정보보호 및 보안 정책에 직접적인 영향을 줄 수 있는 중요한 규제 이슈임.,False,False
I027,"배민 B마트, 산지 직송·즉시배송 결합에 농축산물 매출 급증",커머스_성장_전략,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,,,COMP_DOMESTIC_FINANCE_COMMERCE,domestic,213.0,2,3,2,1,2207,2207,"배민 B마트, 산지 직송·즉시배송 결합에 농축산물 매출 53% 급증",물류신문,"배달의민족 B마트의 농축산물 매출 증가는 이커머스 플랫폼의 신선식품 공급망 강화 및 소비자 수요 변화에 대한 인사이트를 제공하며, 카카오의 커머스 사업 전략 수립 시 참고할 만함.","국내 플랫폼 기업인 배달의민족의 커머스 사업 확장 사례로, 카카오의 커머스 사업 전략 수립 및 경쟁 우위 확보 방안 모색에 참고할 수 있음.",False,False
I028,"디지캡, 네이버 100억원 계약 체결",B2B_솔루션_계약,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,,,COMP_DOMESTIC_STRATEGY,domestic,210.25,4,4,4,1,1671,1671,"디지캡, 네이버 100억원 계약 체결…전년 매출 대비 15.6%",데일리인베스트,"디지캡과 네이버 간의 대규모 계약은 네이버의 B2B 솔루션 사업 확장을 보여주지만, 카카오의 직접적인 사업 영역과 관련성이 낮음.","카카오의 사업 영역과 직접적인 연관성이 낮은 기업 간의 계약 소식으로, 관련성이 낮아 제외함.",False,True
I029,"젠슨 황, 엔비디아 매출 전망 및 SK하이닉스/SKT 주가 언급",반도체_시장_전망,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,,,COMP_DOMESTIC_STRATEGY,domestic,210.0,4,4,4,1,1853,1853,"젠슨 황 ""엔비디아 내년 매출 5배↑...SK하닉·SKT 주식 아직 싸다"" - 머니투데이",머니투데이,"젠슨 황의 발언은 반도체 시장 및 관련 기업의 전망에 대한 인사이트를 제공하지만, 카카오의 직접적인 사업이나 정책과 관련성이 낮음.","카카오의 사업 영역과 직접적인 연관성이 낮은 반도체 시장 전망 관련 소식으로, 관련성이 낮아 제외함.",False,True
I030,"금감원, 가상자산 시세조종 'AI 자동탐지' 도입",금융 AI 도입,GOV_AI_DIGITAL_POLICY,경쟁사_해외이슈,,GOV_AI_CORE_POLICY,,other,209.5,5,1,1,1,942,942,"금감원, 가상자산 시세조종 ‘AI 자동탐지’ 도입…초 단위 분석 체계 구축",메트로신문,금융감독원이 가상자산 시세조종을 탐지하기 위해 AI 자동탐지 시스템 도입 및 초 단위 분석 체계를 구축함.,금융 감독 기관의 AI 기술 도입은 카카오의 AI 서비스 및 금융 서비스 개발에 영향을 줄 수 있는 정책적 변화로 분류. / v23_category_reassign:government_without_policy_basis,False,False
I031,"국가정보보호백서, AI 기반 해킹 시대 도래",국가 정보보호,GOV_AI_DIGITAL_POLICY,경쟁사_해외이슈,,GOV_AI_CORE_POLICY,,other,209.5,5,1,1,1,315,315,"올해 국가정보보호백서 살펴보니…""AI가 스스로 해킹하는 시대 왔다""",뉴스웍스,국가정보보호백서에서 AI가 스스로 해킹하는 시대가 도래했음을 시사함.,"AI 기술 발전이 보안 위협에 미치는 영향에 대한 정부의 인식을 보여주며, 카카오의 보안 전략에 중요한 시사점을 제공하여 분류. / v23_category_reassign:government_without_policy_basis",False,False
I032,팀뷰어 AR에 윈도 AI 적용,AI 적용,COMPETITOR_AI_STRATEGY,경쟁사_해외이슈,,,COMP_OVERSEAS_PLATFORM_AI,overseas,206.5,4,4,5,1,1774,1774,"팀뷰어, 어시스트 AR에 '윈도 AI' 적용…""현장 영상도 선명하게""",지디넷코리아,"팀뷰어의 AR에 '윈도 AI' 적용 및 현장 영상 선명도 개선은 AI 기술의 산업 현장 적용 사례를 보여주나, 카카오의 직접적인 사업과는 무관함.","카카오의 직접적인 사업 영향이나 정책 변화와는 거리가 있으며, 일반적인 IT 기술 적용 사례에 대한 내용임.",False,True
I033,네이버 쇼핑 가구매,커머스,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,,,COMP_DOMESTIC_FINANCE_COMMERCE,domestic,205.5,1,4,1,1,1622,1622,"네이버 쇼핑 가구매, 정말 안전할까? 연매출 200억 광고사 지사장이 말하는 현실",아이보스,"네이버 쇼핑 가구매의 안전성 문제는 커머스 플랫폼 운영의 신뢰도와 관련된 사안으로, 카카오 커머스 사업과의 직접적인 연관성은 낮으나 참고할 수 있음.","커머스 플랫폼의 신뢰도 관련 이슈는 카카오 커머스 사업의 운영에도 영향을 줄 수 있는 사안으로, 참고할 필요가 있음.",False,False
I034,국회의원 희망 상임위 배치,국회_인사,GOV_AI_DIGITAL_POLICY,경쟁사_해외이슈,,GOV_APPOINTMENT_GOVERNANCE,,other,204.5,4,4,4,1,1332,1332,울산 국회의원들 희망 상임위 배치 위해 총력,울산일보,"국회의원 희망 상임위 배치 관련 뉴스는 국회 내부 인사 관련 사항으로, 카카오의 직접적인 사업이나 정책과 무관함.","카카오의 사업 영역과 직접적인 연관성이 낮은 국회 내부 인사 관련 소식으로, 관련성이 낮아 제외함. / v23_category_reassign:government_without_policy_basis",False,True
I035,후반기 국회 상임위원장 배분,국회_인사,GOV_AI_DIGITAL_POLICY,경쟁사_해외이슈,,GOV_APPOINTMENT_GOVERNANCE,,other,204.5,4,4,4,1,1330,1330,후반기 국회 상임위원장 배분 주목⋯송기헌·이양수 물망,강원일보,"후반기 국회 상임위원장 배분 관련 뉴스는 국회 내부 인사 관련 사항으로, 카카오의 직접적인 사업이나 정책과 무관함.","카카오의 사업 영역과 직접적인 연관성이 낮은 국회 내부 인사 관련 소식으로, 관련성이 낮아 제외함. / v23_category_reassign:government_without_policy_basis",False,True
I036,"카카오페이, 코인 베팅 딜레마",서비스_운영_및_전략,SELF_AFFILIATE_BUSINESS,자사_및_계열사_이슈,FILLER_REFERENCE,,,other,197.5,3,3,3,1,90,90,[카카오 ‘부활’②] 실체 없는 '코인 베팅'에 올인한 카카오페이의 딜레마,비즈트리뷴,"카카오페이의 코인 관련 사업 전략 및 딜레마에 대한 분석은 카카오페이의 리스크 관리 및 향후 사업 방향 설정에 대한 참고 자료로 활용될 수 있음. 다만, 직접적인 경영진 인지 필요성은 낮음.","카카오페이의 가상자산 관련 사업 전략 분석으로, 직접적인 영향력은 낮으나 참고용으로 분류.",False,False
I037,가상자산 이전거래/AML 규제 조정,FIU 제재,GOV_FINANCIAL_DIGITAL_POLICY,경쟁사_해외이슈,STRATEGIC_REFERENCE,GOV_DIGITAL_FINANCE_POLICY,COMP_OVERSEAS_REGULATION_DATA,other,192.5,4,1,1,3,2702,"2702,793,2531","FIU, 가상자산 제재 연이은 패소…과잉 규제 비판 커져 | 1000만원 일괄보고 철회했지만…AML 책임 커진 가상자산 거래소 | ""글로벌 주요국, 가상자산 트래블룰 금액 폐지•해외 사업자 AML 평가 추세""",포인트데일리 | v.daum.net | 디지털애셋,"금융정보분석원(FIU)이 가상자산 관련 제재에서 연이은 패소를 겪으며 과잉 규제 비판이 제기됨. / 1000만원 일괄보고 철회에도 불구하고 AML(자금세탁방지) 책임이 가상자산 거래소에 커진다는 점은 카카오의 관련 사업 추진 시 예상되는 규제 리스크를 보여줌. / 주요국의 가상자산 트래블룰 금액 폐지 및 AML 평가 강화 추세는 글로벌 가상자산 규제 환경 변화를 보여주며, 카카오의 향후 가상자산 관련 사업 추진 시 참고해야 할 중요한 정보임.","가상자산 관련 규제 당국의 법적 쟁점을 다루고 있어 카카오의 디지털 금융 정책 환경에 영향을 줄 수 있는 이슈. / 가상자산 관련 AML 규제 강화는 카카오의 잠재적 사업 영역에서 중요한 규제 리스크로 작용할 수 있음. / v23_category_reassign:government_without_policy_basis / 글로벌 가상자산 규제 동향에 대한 중요한 정보로, 카카오의 가상자산 사업 관련 정책 및 전략 수립에 필수적으로 참고해야 함.",False,False
I038,외국환율고시표,금융_정보_제공,GOV_FINANCIAL_DIGITAL_POLICY,경쟁사_해외이슈,,GOV_DIGITAL_FINANCE_POLICY,,other,190.5,4,4,4,1,1441,1441,[표] 외국환율고시표,stock12.mk.co.kr,"외국환율 고시표는 금융 시장 정보 제공으로, 카카오의 사업이나 정책과 직접적인 연관성이 낮음.","카카오의 사업 영역과 직접적인 연관성이 없는 금융 정보로, 관련성이 낮아 제외함. / v23_category_reassign:government_without_policy_basis",False,True
I039,"구글, 게임 매출 순위 변동",게임_시장_동향,COMPETITOR_PLATFORM_RISK,경쟁사_해외이슈,,,COMP_GENERAL_LOW_RELEVANCE,overseas,187.25,4,4,4,1,2259,2259,"[위클리 게임] 이환, '라크리모사' 앞세워 구글 매출 6위로 '급상승'",글로벌이코노믹,"구글의 게임 매출 순위 변동은 게임 시장 내 경쟁 구도를 보여주지만, 카카오의 직접적인 사업 영역과 관련성이 낮음.","카카오의 사업 영역과 직접적인 연관성이 낮은 게임 시장 동향 관련 소식으로, 관련성이 낮아 제외함.",False,True
