date,issue_id,issue_group,issue_family,category,priority,top_title,top_url,selected,issue_hash
2026.6.9,I003,global_incident:platform_regulation:naver:platform_content_moderation_obligation,comp_domestic_direct_risk,경쟁사_해외이슈,4,,,True,global incident platform regulation naver platform content moderation obligation
2026.6.9,I004,global_incident:platform_regulation:platform_sector:platform_regulation,government_regulatory_enforcement,정부_국회,5,,,True,global incident platform regulation platform sector platform regulation
2026.6.9,I005,"티빙·CU 개인정보 유출, 쿠팡 제재 수위 주목",개인정보 유출,정부_국회,1,,,True,티빙 cu 개인정보 유출 쿠팡 제재 수위 주목
2026.6.9,I018,배민 1:1 맞춤 컨설팅 효과,플랫폼 사업자 성장 지원,경쟁사_해외이슈,3,,,True,배민 1 1 맞춤 컨설팅 효과
2026.6.9,I030,"K-로봇, 피지컬 AI 시대 글로벌 격전지 부상",AI 기술,산업동향,2,,,True,k 로봇 피지컬 ai 시대 글로벌 격전지 부상
2026.6.9,I036,"중국, 온라인 제품평가 규제 강화",플랫폼 규제_표시/광고,정부_국회,2,,,True,중국 온라인 제품평가 규제 강화
2026.6.9,I041,스테이블코인 감독권 갈등에 막힌 '디지털 자산 기본법',디지털 자산/스테이블코인 규제,정부_국회,2,,,True,스테이블코인 감독권 갈등에 막힌 디지털 자산 기본법
2026.6.9,I043,카카오 노조 임단협/파업 및 내부 갈등,노사갈등,자사_및_계열사_이슈,3,,,True,카카오 노조 임단협 파업 및 내부 갈등
2026.6.9,I049,"카카오 준신위, AI 기본법 대응 워크숍 개최",AI 법제화,자사_및_계열사_이슈,2,,,True,카카오 준신위 ai 기본법 대응 워크숍 개최
2026.6.9,I053,애큐온캐피탈 인수전 및 카카오뱅크 진출,인수합병,자사_및_계열사_이슈,2,,,True,애큐온캐피탈 인수전 및 카카오뱅크 진출
2026.6.9,I074,오픈AI IPO 추진,오픈AI,경쟁사_해외이슈,2,,,True,오픈ai ipo 추진
2026.6.9,I077,카카오 실적 대비 주가 부진,카카오톡_경영/실적,자사_및_계열사_이슈,1,,,True,카카오 실적 대비 주가 부진
2026-06-10,I001,global_incident:platform_regulation:coupang:platform_data_protection_obligation,platform_obligation,정부_국회,5,,,True,global incident platform regulation coupang platform data protection obligation
2026-06-10,I002,global_incident:platform_regulation:coupang:platform_operator_obligation,self_privacy_security,자사_및_계열사_이슈,5,,,True,global incident platform regulation coupang platform operator obligation
2026-06-10,I003,government_regulatory_enforcement:1분기 영업이익 감소 보안 상장사 15곳 어디 적자 3배 확대한 곳도,government_regulatory_enforcement,정부_국회,5,,,True,government regulatory enforcement 1분기 영업이익 감소 보안 상장사 15곳 어디 적자 3배 확대한 곳도
2026-06-10,I004,쿠팡 와우회원가 기만 광고 공정위 제재,쿠팡_규제_제재,경쟁사_해외이슈,2,,,True,쿠팡 와우회원가 기만 광고 공정위 제재
2026-06-10,I006,카카오 노조 임단협/파업 및 내부 갈등,노조_파업,자사_및_계열사_이슈,5,,,True,카카오 노조 임단협 파업 및 내부 갈등
2026-06-10,I009,플랫폼 인수합병 및 공정거래 규제,플랫폼 인수합병,경쟁사_해외이슈,2,,,True,플랫폼 인수합병 및 공정거래 규제
2026-06-10,I012,AI 에이전트 시장 동향,AI 에이전트,산업동향,2,,,True,ai 에이전트 시장 동향
2026-06-10,I018,카카오게임즈 최대주주 변경 및 공동대표 체제,경영권/인수,자사_및_계열사_이슈,3,,,True,카카오게임즈 최대주주 변경 및 공동대표 체제
2026-06-10,I027,국내 AI 보안 스타트업 동향,AI 보안 스타트업 투자,경쟁사_해외이슈,2,,,True,국내 ai 보안 스타트업 동향
2026-06-10,I033,표시광고법 등 '반복 위반' 과징금 최대 100% 상향,과징금_강화,정부_국회,2,,,True,표시광고법 등 반복 위반 과징금 최대 100 상향
2026-06-10,I046,AI 기업 경쟁 동향,AI 기업 실적,경쟁사_해외이슈,2,,,True,ai 기업 경쟁 동향
2026-06-10,I068,카카오페이증권 전산 장애,전산 장애/보안,자사_및_계열사_이슈,1,,,True,카카오페이증권 전산 장애
2026-06-10,I069,AI 기본법 시행령 개정,AI 정책,정부_국회,1,,,True,ai 기본법 시행령 개정
